date,crop,mandi,arrival_tonnes,min_price,max_price,model_price,weather
2025-01-29,Onion,Delhi,455.7,1163,1885,1419,Foggy
2025-08-15,Potato,Kanpur,396.12,2158,2370,2236,Sunny
2025-08-31,Wheat,Delhi,404.29,889,1230,904,Foggy
2025-06-15,Rice,Indore,200.54,1071,1500,1156,Cloudy
2025-05-11,Wheat,Indore,226.01,1997,2741,2599,Cloudy
2025-04-27,Wheat,Kanpur,54.5,853,1147,1078,Rainy
2025-09-16,Onion,Bhopal,229.31,1449,1580,1569,Foggy
2025-12-17,Rice,Lucknow,431.58,1410,1860,1599,Foggy
2025-10-04,Wheat,Indore,32.23,2062,2579,2110,Rainy
2025-01-14,Maize,Kanpur,439.39,1678,2153,2140,Sunny
2025-06-02,Rice,Kanpur,452.16,853,1583,1286,Humid
2025-10-25,Wheat,Lucknow,132.03,1484,2036,1985,Rainy
2025-02-06,Potato,Delhi,61.46,2167,2480,2263,Foggy
2025-05-06,Mustard,Kanpur,353.09,1571,1804,1650,Cloudy
2025-02-28,Wheat,Indore,323.87,2497,2946,2796,Humid
2025-12-29,Rice,Jaipur,299.12,1947,2586,2146,Cloudy
2025-08-22,Mustard,Bhopal,269.75,1167,1508,1234,Cloudy
2025-02-11,Maize,Lucknow,414.42,949,1343,1109,Humid
2025-12-17,Rice,Kanpur,466.71,1673,2000,1981,Foggy
2025-08-23,Onion,Kanpur,40.18,2258,2818,2813,Cloudy
2025-10-08,Maize,Delhi,378.95,1682,2078,1819,Foggy
2025-06-07,Maize,Delhi,367.3,2445,2792,2545,Cloudy
2025-08-12,Maize,Bhopal,416.94,1362,1864,1718,Foggy
2025-02-09,Maize,Jaipur,142.41,1839,2388,2332,Rainy
2025-08-26,Maize,Lucknow,129.48,1870,2299,2258,Sunny
2025-11-10,Onion,Jaipur,462.45,2387,2740,2467,Foggy
2025-09-30,Maize,Bhopal,461.31,1199,1941,1330,Sunny
2025-11-12,Potato,Lucknow,99.67,1440,1583,1527,Foggy
2025-07-06,Maize,Delhi,337.17,1350,2075,1609,Cloudy
2025-04-22,Onion,Lucknow,18.56,1749,2464,1995,Sunny
2025-11-20,Mustard,Bhopal,372.88,861,1625,1114,Sunny
2025-11-07,Maize,Delhi,204.41,1185,1687,1563,Cloudy
2025-07-29,Potato,Kanpur,270.06,1604,2212,2121,Sunny
2025-02-08,Onion,Indore,315.19,1397,1669,1576,Sunny
2025-05-05,Wheat,Indore,134.56,1874,2598,2279,Sunny
2025-07-13,Potato,Lucknow,157.41,1395,1516,1439,Cloudy
2025-02-19,Rice,Delhi,130.74,1082,1481,1409,Cloudy
2025-04-14,Maize,Jaipur,311.98,1334,1758,1565,Foggy
2025-11-22,Wheat,Jaipur,389.98,2162,2420,2287,Sunny
2025-11-16,Rice,Lucknow,17.28,1143,1350,1282,Cloudy
2025-02-03,Onion,Kanpur,80.72,1511,1837,1791,Sunny
2025-05-23,Potato,Lucknow,166.12,1544,1968,1942,Sunny
2025-01-28,Maize,Kanpur,107.11,1771,2496,2444,Sunny
2025-07-10,Rice,Lucknow,294.4,963,1621,1468,Rainy
2025-09-16,Onion,Jaipur,340.82,1392,2066,2042,Sunny
2025-07-07,Potato,Kanpur,59.0,1311,1555,1539,Cloudy
2025-04-17,Mustard,Indore,231.13,1701,2037,1797,Sunny
2025-12-21,Mustard,Jaipur,18.53,2474,3183,2660,Cloudy
2025-01-26,Wheat,Bhopal,92.46,2239,2342,2334,Cloudy
2025-08-17,Onion,Indore,78.36,1494,2208,1960,Sunny
2025-02-16,Mustard,Delhi,58.75,2435,2843,2660,Sunny
2025-09-25,Onion,Lucknow,463.84,1681,2449,1713,Humid
2025-08-31,Potato,Lucknow,101.49,1261,1471,1444,Humid
2025-08-31,Onion,Kanpur,10.34,1378,2018,1926,Rainy
2025-08-23,Onion,Bhopal,351.12,1617,1922,1861,Foggy
2025-05-01,Rice,Bhopal,241.07,1960,2355,2003,Rainy
2025-07-27,Onion,Bhopal,164.09,864,1216,967,Rainy
2025-03-11,Maize,Lucknow,193.34,885,1224,1003,Humid
2025-04-15,Wheat,Lucknow,142.39,1618,2302,2097,Sunny
2025-11-23,Rice,Jaipur,322.42,1239,1974,1500,Foggy
2025-04-28,Wheat,Bhopal,259.76,1571,2086,1757,Foggy
2025-07-16,Maize,Lucknow,470.09,1242,1912,1414,Cloudy
2025-05-05,Wheat,Lucknow,323.27,2080,2743,2663,Sunny
2025-05-22,Onion,Bhopal,65.68,1541,1830,1743,Foggy
2025-03-14,Potato,Jaipur,263.61,1176,1730,1334,Humid
2025-08-10,Maize,Delhi,22.82,1536,2271,1743,Sunny
2025-01-31,Mustard,Lucknow,259.07,1151,1354,1289,Rainy
2025-03-15,Wheat,Indore,322.64,1029,1727,1082,Sunny
2025-06-18,Mustard,Bhopal,242.75,2007,2376,2108,Foggy
2025-08-05,Wheat,Delhi,363.64,2127,2544,2267,Sunny
2025-03-26,Rice,Lucknow,284.7,1922,2546,2107,Foggy
2025-02-06,Wheat,Delhi,172.52,1311,1963,1900,Rainy
2025-06-03,Maize,Indore,133.02,2351,2894,2782,Sunny
2025-06-21,Onion,Indore,454.71,1747,2444,1916,Rainy
2025-12-30,Maize,Lucknow,302.42,1179,1463,1206,Sunny
2025-04-27,Maize,Delhi,352.37,1644,1768,1709,Sunny
2025-02-24,Potato,Bhopal,383.14,2196,2569,2398,Foggy
2025-10-23,Onion,Bhopal,148.98,943,1596,1261,Rainy
2025-02-27,Potato,Bhopal,272.93,1321,1585,1560,Rainy
2025-09-02,Potato,Bhopal,241.9,2088,2744,2473,Foggy
2025-12-05,Wheat,Indore,36.68,807,1217,941,Rainy
2025-05-07,Onion,Jaipur,243.96,1539,1847,1729,Rainy
2025-04-12,Rice,Lucknow,215.96,801,995,839,Humid
2025-03-28,Maize,Kanpur,349.11,2071,2585,2363,Humid
2025-07-28,Onion,Jaipur,186.55,1765,2515,2153,Rainy
2025-07-06,Mustard,Kanpur,198.94,1298,1652,1495,Cloudy
2025-11-24,Onion,Indore,228.57,892,1025,978,Rainy
2025-11-24,Wheat,Indore,410.39,1133,1473,1235,Cloudy
2025-03-07,Rice,Lucknow,374.52,2319,2855,2692,Humid
2025-03-21,Rice,Indore,77.89,1259,1986,1710,Foggy
2025-08-21,Onion,Delhi,245.62,2488,2860,2584,Humid
2025-11-15,Mustard,Bhopal,96.42,2052,2275,2173,Foggy
2025-12-20,Potato,Lucknow,375.52,2493,3258,2596,Foggy
2025-08-15,Potato,Jaipur,339.18,998,1226,1015,Foggy
2025-04-26,Onion,Bhopal,187.82,1451,2247,2006,Rainy
2025-11-20,Onion,Bhopal,110.78,1702,2060,1887,Humid
2025-06-11,Potato,Bhopal,276.91,2231,2440,2347,Foggy
2025-06-23,Wheat,Bhopal,211.08,968,1487,1299,Sunny
2025-08-11,Wheat,Indore,433.54,1934,2043,1947,Rainy
2025-11-12,Rice,Kanpur,480.97,2405,3192,3024,Foggy
2025-07-23,Wheat,Indore,373.99,2194,2807,2452,Humid
2025-11-12,Wheat,Jaipur,252.84,1057,1732,1561,Sunny
2025-03-15,Maize,Delhi,226.89,2278,2711,2310,Sunny
2025-07-27,Onion,Delhi,449.33,2465,2833,2739,Humid
2025-05-08,Mustard,Lucknow,51.23,2461,2986,2865,Sunny
2025-09-27,Potato,Lucknow,56.41,923,1150,1127,Foggy
2025-08-21,Mustard,Delhi,283.52,2325,2638,2517,Cloudy
2025-09-13,Onion,Lucknow,237.2,1906,2119,2063,Rainy
2025-12-01,Mustard,Jaipur,422.35,1774,2073,1780,Foggy
2025-12-18,Mustard,Bhopal,30.1,2363,2700,2600,Rainy
2025-06-13,Mustard,Jaipur,283.66,1490,1878,1573,Rainy
2025-02-07,Rice,Bhopal,239.4,2096,2747,2557,Foggy
2025-04-26,Maize,Bhopal,69.14,1947,2682,2241,Humid
2025-11-20,Rice,Jaipur,207.69,2195,2662,2644,Cloudy
2025-08-10,Rice,Indore,393.87,1461,1599,1548,Foggy
2025-08-30,Rice,Indore,337.13,1389,2085,1496,Cloudy
2025-09-26,Rice,Kanpur,127.77,1725,2325,1969,Foggy
2025-04-19,Maize,Lucknow,166.06,803,1170,989,Rainy
2025-07-07,Maize,Lucknow,401.23,1334,1772,1377,Rainy
2025-03-30,Wheat,Kanpur,319.9,845,1386,959,Sunny
2025-04-07,Maize,Bhopal,326.98,1707,2007,1714,Sunny
2025-12-21,Wheat,Jaipur,202.42,1706,2109,1826,Humid
2025-01-16,Maize,Bhopal,73.36,1641,2338,1930,Sunny
2025-06-15,Wheat,Delhi,391.36,1842,2120,2007,Cloudy
2025-12-15,Mustard,Bhopal,234.93,1378,1852,1573,Humid
2025-06-01,Mustard,Indore,406.16,2123,2264,2204,Cloudy
2025-12-27,Maize,Bhopal,300.92,2371,3090,3006,Cloudy
2025-03-07,Onion,Bhopal,68.61,1609,2084,1945,Foggy
2025-08-20,Mustard,Delhi,207.3,2277,2591,2508,Humid
2025-03-12,Mustard,Bhopal,263.86,1925,2485,2281,Humid
2025-12-22,Mustard,Bhopal,216.75,895,1674,1326,Sunny
2025-04-16,Maize,Delhi,425.67,2363,2772,2373,Cloudy
2025-06-09,Potato,Delhi,417.41,1127,1881,1235,Rainy
2025-08-27,Rice,Jaipur,278.79,2482,3282,2787,Foggy
2025-01-24,Rice,Kanpur,257.26,1510,1630,1616,Humid
2025-10-24,Onion,Kanpur,202.85,1964,2235,1995,Cloudy
2025-12-13,Mustard,Kanpur,342.2,2314,2933,2888,Cloudy
2025-04-16,Mustard,Jaipur,34.21,1157,1339,1217,Cloudy
2025-05-30,Maize,Delhi,403.38,1452,1978,1473,Foggy
2025-04-09,Onion,Indore,205.19,1905,2524,2009,Rainy
2025-06-29,Onion,Jaipur,438.64,1238,1953,1616,Humid
2025-12-26,Wheat,Kanpur,74.48,1057,1345,1323,Cloudy
2025-12-17,Wheat,Indore,295.9,1391,1832,1799,Cloudy
2025-04-25,Onion,Jaipur,370.3,2157,2635,2259,Humid
2025-02-10,Mustard,Indore,350.36,963,1550,1048,Cloudy
2025-02-10,Rice,Delhi,411.75,1362,1740,1606,Cloudy
2025-10-21,Potato,Delhi,399.15,1950,2362,2288,Sunny
2025-12-28,Potato,Jaipur,377.66,1068,1804,1276,Cloudy
2025-12-13,Onion,Lucknow,305.92,1206,1388,1284,Sunny
2025-07-15,Potato,Lucknow,255.36,2390,2591,2438,Rainy
2025-07-28,Onion,Kanpur,465.13,1175,1754,1637,Cloudy
2025-10-22,Onion,Lucknow,464.93,1623,1962,1953,Foggy
2025-06-09,Potato,Bhopal,167.76,1529,2171,1725,Cloudy
2025-04-14,Wheat,Bhopal,385.4,2148,2910,2534,Rainy
2025-12-22,Maize,Kanpur,499.04,1616,2322,2009,Sunny
2025-04-30,Potato,Lucknow,327.78,2219,2710,2488,Cloudy
2025-03-01,Onion,Jaipur,47.48,825,1505,861,Humid
2025-04-20,Onion,Bhopal,140.06,1225,1513,1334,Cloudy
2025-06-02,Onion,Jaipur,325.41,1420,1917,1520,Cloudy
2025-03-31,Wheat,Delhi,420.72,916,1379,1067,Humid
2025-10-10,Mustard,Kanpur,452.19,1366,1469,1374,Humid
2025-09-14,Mustard,Indore,444.01,2059,2377,2263,Humid
2025-05-12,Rice,Delhi,331.57,1987,2259,2188,Cloudy
2025-05-19,Mustard,Indore,429.56,1924,2158,2004,Rainy
2025-06-21,Mustard,Delhi,95.84,1117,1581,1467,Humid
2025-01-25,Wheat,Indore,144.48,1345,1725,1605,Humid
2025-05-06,Potato,Indore,479.48,1656,2183,2091,Foggy
2025-02-11,Rice,Indore,259.65,1383,2039,1438,Foggy
2025-01-08,Potato,Lucknow,149.74,1846,2204,2047,Foggy
2025-04-12,Onion,Lucknow,176.52,2065,2311,2228,Sunny
2025-04-26,Onion,Bhopal,261.42,2188,2933,2479,Cloudy
2025-02-25,Onion,Bhopal,91.33,1074,1438,1325,Rainy
2025-03-05,Maize,Kanpur,192.99,866,1054,1036,Foggy
2025-04-05,Maize,Delhi,364.44,1845,2390,2308,Cloudy
2025-12-15,Rice,Delhi,257.03,2296,2603,2377,Foggy
2025-06-25,Mustard,Jaipur,33.63,970,1650,1507,Foggy
2025-11-18,Wheat,Kanpur,495.96,2033,2761,2727,Sunny
2025-05-01,Wheat,Delhi,103.25,1998,2157,2115,Rainy
2025-04-19,Potato,Indore,345.41,1125,1550,1272,Foggy
2025-09-20,Onion,Lucknow,92.17,2406,3068,2985,Sunny
2025-09-27,Maize,Delhi,10.01,1283,1949,1775,Rainy
2025-03-21,Maize,Indore,493.42,1755,2436,2241,Cloudy
2025-04-25,Rice,Kanpur,135.77,1817,2498,2358,Humid
2025-05-27,Wheat,Kanpur,442.91,2239,2730,2543,Rainy
2025-06-05,Maize,Bhopal,378.85,2386,2716,2436,Sunny
2025-11-21,Maize,Kanpur,62.6,1502,2124,1859,Foggy
2025-12-03,Mustard,Jaipur,379.06,1272,1947,1492,Rainy
2025-05-08,Potato,Kanpur,482.25,2152,2906,2655,Cloudy
2025-08-29,Wheat,Jaipur,285.03,1887,2680,2354,Foggy
2025-11-03,Onion,Delhi,278.82,1212,1451,1324,Foggy
2025-09-25,Wheat,Jaipur,357.59,2131,2545,2424,Humid
2025-04-10,Potato,Bhopal,475.56,895,1104,905,Rainy
2025-01-29,Potato,Jaipur,178.96,1936,2246,2007,Cloudy
2025-10-04,Onion,Bhopal,424.34,1411,1867,1715,Cloudy
2025-03-14,Mustard,Indore,426.86,1486,1613,1609,Foggy
2025-07-03,Potato,Kanpur,324.89,1902,2104,2087,Rainy
2025-12-03,Maize,Lucknow,84.56,1710,2228,1860,Rainy
2025-11-16,Maize,Lucknow,428.27,2456,2558,2510,Foggy
2025-01-29,Mustard,Indore,388.62,2034,2273,2218,Foggy
2025-07-08,Mustard,Lucknow,311.77,2041,2485,2041,Rainy
2025-04-28,Maize,Lucknow,161.87,2444,3165,2643,Humid
2025-09-30,Maize,Jaipur,433.47,1852,2589,2139,Foggy
2025-02-02,Wheat,Delhi,242.98,1285,1812,1438,Sunny
2025-05-04,Potato,Jaipur,39.79,1827,2492,2131,Humid
2025-04-15,Maize,Bhopal,328.61,2183,2579,2375,Foggy
2025-02-21,Onion,Delhi,41.21,990,1377,1231,Foggy
2025-03-04,Mustard,Delhi,62.41,1466,1893,1880,Sunny
2025-12-09,Onion,Indore,237.31,906,1059,971,Humid
2025-07-10,Mustard,Lucknow,112.3,846,1447,1167,Sunny
2025-01-20,Maize,Lucknow,39.07,1016,1628,1568,Cloudy
2025-05-25,Onion,Jaipur,206.65,1574,2154,2152,Foggy
2025-08-15,Wheat,Jaipur,317.65,1568,1986,1763,Cloudy
2025-06-20,Maize,Jaipur,361.71,821,1363,1084,Rainy
2025-06-12,Maize,Delhi,26.18,2013,2400,2371,Cloudy
2025-09-22,Onion,Lucknow,56.27,1599,2066,1867,Cloudy
2025-01-03,Mustard,Delhi,15.97,1145,1797,1753,Rainy
2025-11-20,Mustard,Indore,80.37,1694,1900,1767,Foggy
2025-05-15,Maize,Indore,62.0,1570,1677,1671,Sunny
2025-12-07,Wheat,Kanpur,425.34,2001,2493,2010,Foggy
2025-01-13,Rice,Indore,466.67,2322,3046,2520,Humid
2025-09-04,Potato,Jaipur,396.18,2094,2342,2190,Rainy
2025-08-19,Potato,Delhi,421.56,1114,1579,1159,Rainy
2025-12-07,Maize,Bhopal,450.27,1656,2147,2049,Sunny
2025-06-30,Potato,Lucknow,484.05,1761,1900,1782,Foggy
2025-05-19,Maize,Kanpur,447.49,2487,3161,2944,Humid
2025-11-06,Rice,Delhi,413.97,1230,1876,1716,Foggy
2025-09-11,Rice,Bhopal,203.94,2325,2907,2793,Foggy
2025-08-22,Mustard,Lucknow,388.98,1449,2062,1853,Sunny
2025-06-26,Maize,Indore,248.97,1032,1653,1495,Cloudy
2025-11-15,Onion,Indore,164.4,953,1114,1014,Foggy
2025-04-23,Mustard,Jaipur,445.4,822,1359,1248,Foggy
2025-05-09,Rice,Delhi,468.72,1873,2282,1926,Sunny
2025-01-02,Mustard,Indore,372.21,2413,3031,2872,Humid
2025-09-04,Maize,Indore,457.65,1994,2118,2000,Cloudy
2025-01-13,Mustard,Lucknow,122.94,2337,2483,2399,Rainy
2025-08-26,Rice,Kanpur,26.98,1496,1779,1531,Humid
2025-11-13,Rice,Lucknow,372.46,2498,3211,3201,Sunny
2025-11-20,Wheat,Bhopal,72.02,2391,2623,2419,Sunny
2025-12-11,Maize,Kanpur,37.05,1126,1445,1254,Humid
2025-05-22,Maize,Delhi,271.48,1165,1452,1398,Foggy
2025-12-23,Rice,Bhopal,55.8,1975,2109,2094,Cloudy
2025-10-28,Wheat,Delhi,52.59,1448,1932,1811,Cloudy
2025-06-06,Rice,Indore,36.98,1625,2020,1878,Humid
2025-06-22,Maize,Lucknow,64.73,1491,1943,1523,Humid
2025-12-09,Mustard,Indore,148.91,1345,1527,1429,Foggy
2025-07-21,Maize,Lucknow,148.35,1156,1900,1872,Sunny
2025-10-26,Rice,Jaipur,11.39,2372,2656,2513,Sunny
2025-03-02,Wheat,Indore,131.65,1649,2005,1891,Cloudy
2025-05-15,Rice,Lucknow,147.02,2134,2519,2230,Sunny
2025-07-16,Maize,Kanpur,263.66,1856,2482,2183,Rainy
2025-04-04,Mustard,Bhopal,280.38,1823,2381,2157,Humid
2025-05-06,Mustard,Indore,191.51,876,1585,1330,Humid
2025-12-03,Onion,Delhi,106.99,2219,2779,2539,Sunny
2025-08-05,Mustard,Delhi,242.86,1879,2296,2252,Foggy
2025-03-17,Potato,Delhi,20.92,2358,3070,2903,Cloudy
2025-03-21,Rice,Kanpur,388.68,1751,1902,1887,Sunny
2025-07-31,Potato,Lucknow,338.72,2052,2662,2534,Cloudy
2025-11-29,Maize,Jaipur,140.13,878,1167,1014,Rainy
2025-01-08,Rice,Delhi,109.97,842,1423,1373,Foggy
2025-08-19,Potato,Bhopal,139.81,1844,2281,2017,Humid
2025-04-22,Maize,Delhi,50.68,960,1085,976,Humid
2025-11-14,Wheat,Lucknow,364.69,926,1479,1036,Cloudy
2025-01-30,Potato,Bhopal,187.18,1959,2623,2493,Cloudy
2025-06-01,Potato,Delhi,319.02,1138,1303,1270,Foggy
2025-04-08,Mustard,Indore,379.48,1218,1672,1574,Sunny
2025-09-24,Potato,Lucknow,64.46,992,1413,1328,Foggy
2025-09-21,Onion,Jaipur,398.12,1140,1831,1199,Rainy
2025-05-06,Maize,Bhopal,170.73,860,1225,863,Foggy
2025-02-21,Rice,Bhopal,242.98,1363,1494,1435,Foggy
2025-04-21,Rice,Jaipur,185.1,1445,1770,1474,Foggy
2025-04-28,Wheat,Kanpur,437.59,2437,2910,2909,Cloudy
2025-05-14,Onion,Delhi,332.55,942,1711,1533,Sunny
2025-07-23,Onion,Jaipur,269.36,2260,2611,2531,Humid
2025-05-16,Wheat,Jaipur,419.2,1160,1755,1673,Sunny
2025-08-14,Onion,Bhopal,366.78,2467,2599,2590,Rainy
2025-01-19,Rice,Lucknow,241.42,1111,1434,1182,Humid
2025-05-07,Wheat,Kanpur,346.31,1514,1623,1571,Cloudy
2025-08-29,Mustard,Indore,491.27,1669,2140,1976,Rainy
2025-11-18,Rice,Lucknow,178.11,2129,2831,2364,Rainy
2025-05-30,Potato,Kanpur,399.33,824,945,895,Rainy
2025-04-18,Maize,Lucknow,201.29,1410,1624,1418,Humid
2025-11-24,Potato,Delhi,401.34,965,1443,1259,Foggy
2025-11-02,Maize,Kanpur,93.89,1539,2198,2027,Foggy
2025-10-18,Wheat,Jaipur,118.86,2002,2403,2372,Sunny
2025-03-17,Rice,Jaipur,176.7,1534,1663,1655,Foggy
2025-05-20,Onion,Bhopal,348.08,2115,2409,2202,Rainy
2025-09-02,Wheat,Indore,402.87,1244,1441,1347,Sunny
2025-11-13,Potato,Jaipur,76.25,1700,2134,2002,Cloudy
2025-12-24,Rice,Bhopal,141.62,1970,2626,2242,Sunny
2025-03-11,Wheat,Lucknow,434.72,1152,1899,1552,Sunny
2025-04-20,Mustard,Bhopal,196.78,2225,2903,2276,Cloudy
2025-07-01,Maize,Delhi,58.29,1504,1748,1731,Rainy
2025-01-12,Wheat,Bhopal,202.14,1488,1853,1498,Sunny
2025-09-07,Maize,Delhi,171.85,1841,2518,1999,Cloudy
2025-07-09,Potato,Indore,90.45,1591,2329,1986,Humid
2025-03-11,Rice,Lucknow,235.44,1387,1855,1581,Cloudy
2025-02-08,Mustard,Bhopal,86.87,1131,1352,1285,Rainy
2025-06-26,Potato,Jaipur,18.82,1498,1766,1630,Cloudy
2025-04-16,Mustard,Kanpur,274.62,1734,2400,2318,Rainy
2025-12-05,Rice,Bhopal,368.85,2281,2993,2454,Humid
2025-04-24,Maize,Jaipur,82.28,2298,2414,2334,Foggy
2025-09-16,Wheat,Kanpur,436.25,1098,1704,1161,Rainy
2025-07-16,Rice,Jaipur,108.28,1125,1257,1152,Foggy
2025-02-22,Potato,Kanpur,226.33,1064,1517,1167,Cloudy
2025-01-11,Potato,Indore,287.54,2101,2620,2355,Cloudy
2025-04-29,Potato,Indore,266.78,2047,2636,2564,Humid
2025-10-10,Onion,Indore,121.64,816,1293,1272,Foggy
2025-11-19,Potato,Delhi,132.4,2001,2199,2154,Cloudy
2025-08-22,Rice,Lucknow,347.58,1290,1985,1494,Rainy
2025-03-18,Wheat,Jaipur,139.95,1484,1895,1663,Rainy
2025-04-28,Onion,Lucknow,354.59,2262,2490,2351,Foggy
2025-12-24,Wheat,Delhi,204.58,846,1082,895,Rainy
2025-11-04,Wheat,Bhopal,341.65,2282,2973,2434,Foggy
2025-11-11,Wheat,Lucknow,156.53,2181,2470,2455,Sunny
2025-12-21,Onion,Lucknow,263.38,1175,1693,1453,Sunny
2025-04-15,Rice,Kanpur,55.97,976,1120,991,Foggy
2025-12-02,Rice,Indore,284.02,1531,1633,1632,Rainy
2025-06-28,Maize,Kanpur,94.65,1844,2392,2117,Foggy
2025-01-25,Mustard,Bhopal,461.74,817,1294,826,Sunny
2025-11-16,Rice,Jaipur,409.81,1974,2289,1978,Rainy
2025-10-08,Maize,Delhi,330.04,1832,2286,2243,Foggy
2025-12-11,Rice,Bhopal,319.9,1620,2241,2173,Rainy
2025-01-29,Potato,Delhi,448.44,2183,2730,2461,Rainy
2025-05-15,Potato,Jaipur,217.63,2150,2313,2211,Rainy
2025-10-01,Maize,Lucknow,469.86,2237,2731,2374,Rainy
2025-03-20,Mustard,Delhi,257.49,1066,1613,1307,Foggy
2025-01-10,Potato,Bhopal,99.68,1374,1505,1427,Foggy
2025-12-20,Maize,Bhopal,78.65,2392,2867,2627,Rainy
2025-12-14,Potato,Delhi,397.7,2463,3104,2689,Cloudy
2025-03-12,Wheat,Indore,212.65,815,933,850,Cloudy
2025-02-15,Rice,Indore,376.7,2091,2618,2297,Rainy
2025-12-31,Mustard,Indore,445.23,1433,1688,1445,Foggy
2025-05-13,Mustard,Indore,391.45,2359,2557,2458,Humid
2025-06-11,Onion,Jaipur,366.33,1933,2563,2343,Humid
2025-09-30,Maize,Lucknow,464.61,1410,1887,1663,Foggy
2025-05-08,Rice,Kanpur,218.92,1487,1652,1513,Sunny
2025-10-16,Wheat,Indore,35.66,1750,2067,1960,Sunny
2025-09-04,Wheat,Delhi,181.92,2243,2452,2256,Cloudy
2025-07-26,Potato,Delhi,122.28,2473,3042,2832,Sunny
2025-03-08,Potato,Bhopal,33.52,2194,2453,2370,Foggy
2025-08-04,Wheat,Lucknow,85.1,1167,1684,1314,Sunny
2025-04-12,Potato,Indore,140.51,1031,1750,1195,Cloudy
2025-01-11,Maize,Lucknow,374.2,924,1685,1436,Humid
2025-03-28,Maize,Kanpur,466.27,1931,2556,2518,Foggy
2025-09-24,Onion,Indore,417.37,1549,1973,1946,Humid
2025-02-15,Mustard,Lucknow,85.14,1989,2372,2094,Foggy
2025-07-18,Wheat,Lucknow,146.94,1294,1860,1523,Humid
2025-10-02,Maize,Delhi,374.76,1512,2065,1872,Humid
2025-03-13,Mustard,Kanpur,35.24,2258,2445,2428,Humid
2025-11-14,Mustard,Bhopal,30.42,2382,2806,2743,Cloudy
2025-01-02,Maize,Bhopal,458.25,841,1023,976,Rainy
2025-08-17,Potato,Delhi,326.62,1535,1871,1809,Foggy
2025-06-30,Wheat,Indore,146.59,1278,2036,1583,Humid
2025-07-12,Rice,Bhopal,131.23,2270,3039,2823,Sunny
2025-11-09,Wheat,Kanpur,48.82,2385,3168,2891,Cloudy
2025-10-21,Maize,Lucknow,357.84,2337,3046,2981,Humid
2025-03-26,Maize,Indore,327.71,2031,2550,2169,Humid
2025-06-02,Maize,Delhi,319.15,2266,2426,2345,Foggy
2025-03-14,Rice,Delhi,18.1,1999,2288,2274,Rainy
2025-01-11,Onion,Bhopal,272.67,1299,1682,1379,Humid
2025-08-04,Wheat,Lucknow,232.64,1579,1689,1660,Rainy
2025-04-09,Potato,Jaipur,322.16,1206,1696,1683,Sunny
2025-10-18,Wheat,Delhi,465.34,2318,3090,2851,Foggy
